NeighborName,pCanopyLCLU,pCanopy2016,ALAND
South Boston Waterfront,0.009918984,0.023007167,1472838
Downtown,0.021581362,0.048826506,866902.5
North End,0.037943681,0.068009634,109999.5
Chinatown,0.028789976,0.068834354,269072
East Boston,0.058078159,0.084760468,986865.5
West End,0.053346605,0.10567777,349640
Charlestown,0.060151689,0.115612147,584252.8333
Fenway,0.070335889,0.125517107,226041.25
Allston,0.090753272,0.129172154,693367.6
South Boston,0.102871461,0.144058365,452746.6364
Back Bay,0.077474123,0.155486252,219281.6667
Longwood,0.123142495,0.16432907,507208
South End,0.094076624,0.182168614,258450.3333
Beacon Hill,0.151182524,0.205747329,182990.25
Dorchester,0.180629999,0.210855624,649969.0345
Mission Hill,0.17925,0.212933636,418934.25
Roxbury,0.212883726,0.246295116,568166.8125
Brighton,0.221117947,0.256016589,618561.5385
Roslindale,0.305402278,0.325024084,675672.875
Mattapan,0.31633921,0.342892261,1178144.833
Jamaica Plain,0.344014121,0.370781409,667668.1538
West Roxbury,0.382731964,0.408597238,1899809.714
Hyde Park,0.400512156,0.414619561,1612066.125